route_code,origin,destination,terminal_name,zone,dispatch_datetime,scheduled_minutes,actual_minutes,passengers_boarded
C3,Hub Este,Hub Oeste,Plaza Metro,Central,2019-01-09T00:00:00,43,52,78
D4,Terminal Norte,Terminal Sur,Plaza Metro,Central,2019-01-09T00:00:00,43,52,78
E5,Plaza Metro,Hub Este,Plaza Metro,Central,2019-01-09T00:00:00,43,52,78
F6,Hub Oeste,Centro Intermodal,Plaza Metro,Central,2019-01-09T00:00:00,43,52,78
A1,Centro Intermodal,Terminal Norte,Terminal Norte,Norte,2019-01-11T00:00:00,27,38,80
B2,Terminal Sur,Centro Intermodal,Terminal Norte,Norte,2019-01-11T00:00:00,27,38,80
C3,Hub Este,Hub Oeste,Terminal Norte,Norte,2019-01-11T00:00:00,27,38,80
D4,Terminal Norte,Terminal Sur,Terminal Norte,Norte,2019-01-11T00:00:00,27,38,80
E5,Plaza Metro,Hub Este,Terminal Norte,Norte,2019-01-11T00:00:00,27,38,80
F6,Hub Oeste,Centro Intermodal,Terminal Norte,Norte,2019-01-11T00:00:00,27,38,80
A1,Centro Intermodal,Terminal Norte,Hub Este,Este,2019-01-13T00:00:00,31,44,82
B2,Terminal Sur,Centro Intermodal,Hub Este,Este,2019-01-13T00:00:00,31,44,82
C3,Hub Este,Hub Oeste,Hub Este,Este,2019-01-13T00:00:00,31,44,82
D4,Terminal Norte,Terminal Sur,Hub Este,Este,2019-01-13T00:00:00,31,44,82
E5,Plaza Metro,Hub Este,Hub Este,Este,2019-01-13T00:00:00,31,44,82
F6,Hub Oeste,Centro Intermodal,Hub Este,Este,2019-01-13T00:00:00,31,44,82
A1,Centro Intermodal,Terminal Norte,Plaza Metro,Central,2019-01-15T00:00:00,35,32,84
B2,Terminal Sur,Centro Intermodal,Plaza Metro,Central,2019-01-15T00:00:00,35,32,84
C3,Hub Este,Hub Oeste,Plaza Metro,Central,2019-01-15T00:00:00,35,32,84
D4,Terminal Norte,Terminal Sur,Plaza Metro,Central,2019-01-15T00:00:00,35,32,84
E5,Plaza Metro,Hub Este,Plaza Metro,Central,2019-01-15T00:00:00,35,32,84
F6,Hub Oeste,Centro Intermodal,Plaza Metro,Central,2019-01-15T00:00:00,35,32,84
A1,Centro Intermodal,Terminal Norte,Terminal Norte,Norte,2019-01-17T00:00:00,39,38,86
B2,Terminal Sur,Centro Intermodal,Terminal Norte,Norte,2019-01-17T00:00:00,39,38,86
C3,Hub Este,Hub Oeste,Terminal Norte,Norte,2019-01-17T00:00:00,39,38,86
D4,Terminal Norte,Terminal Sur,Terminal Norte,Norte,2019-01-17T00:00:00,39,38,86
E5,Plaza Metro,Hub Este,Terminal Norte,Norte,2019-01-17T00:00:00,39,38,86
F6,Hub Oeste,Centro Intermodal,Terminal Norte,Norte,2019-01-17T00:00:00,39,38,86
A1,Centro Intermodal,Terminal Norte,Hub Este,Este,2019-01-19T00:00:00,43,44,88
B2,Terminal Sur,Centro Intermodal,Hub Este,Este,2019-01-19T00:00:00,43,44,88
C3,Hub Este,Hub Oeste,Hub Este,Este,2019-01-19T00:00:00,43,44,88
D4,Terminal Norte,Terminal Sur,Hub Este,Este,2019-01-19T00:00:00,43,44,88
E5,Plaza Metro,Hub Este,Hub Este,Este,2019-01-19T00:00:00,43,44,88
F6,Hub Oeste,Centro Intermodal,Hub Este,Este,2019-01-19T00:00:00,43,44,88
A1,Centro Intermodal,Terminal Norte,Plaza Metro,Central,2019-01-21T00:00:00,27,30,90
B2,Terminal Sur,Centro Intermodal,Plaza Metro,Central,2019-01-21T00:00:00,27,30,90
C3,Hub Este,Hub Oeste,Plaza Metro,Central,2019-01-21T00:00:00,27,30,90
D4,Terminal Norte,Terminal Sur,Plaza Metro,Central,2019-01-21T00:00:00,27,30,90
E5,Plaza Metro,Hub Este,Plaza Metro,Central,2019-01-21T00:00:00,27,30,90
F6,Hub Oeste,Centro Intermodal,Plaza Metro,Central,2019-01-21T00:00:00,27,30,90
A1,Centro Intermodal,Terminal Norte,Terminal Norte,Norte,2019-01-23T00:00:00,31,36,92
B2,Terminal Sur,Centro Intermodal,Terminal Norte,Norte,2019-01-23T00:00:00,31,36,92
C3,Hub Este,Hub Oeste,Terminal Norte,Norte,2019-01-23T00:00:00,31,36,92
D4,Terminal Norte,Terminal Sur,Terminal Norte,Norte,2019-01-23T00:00:00,31,36,92
E5,Plaza Metro,Hub Este,Terminal Norte,Norte,2019-01-23T00:00:00,31,36,92
F6,Hub Oeste,Centro Intermodal,Terminal Norte,Norte,2019-01-23T00:00:00,31,36,92
A1,Centro Intermodal,Terminal Norte,Hub Este,Este,2019-01-25T00:00:00,35,42,94
B2,Terminal Sur,Centro Intermodal,Hub Este,Este,2019-01-25T00:00:00,35,42,94
C3,Hub Este,Hub Oeste,Hub Este,Este,2019-01-25T00:00:00,35,42,94
D4,Terminal Norte,Terminal Sur,Hub Este,Este,2019-01-25T00:00:00,35,42,94
E5,Plaza Metro,Hub Este,Hub Este,Este,2019-01-25T00:00:00,35,42,94
F6,Hub Oeste,Centro Intermodal,Hub Este,Este,2019-01-25T00:00:00,35,42,94
A1,Centro Intermodal,Terminal Norte,Plaza Metro,Central,2019-01-27T00:00:00,39,48,96
B2,Terminal Sur,Centro Intermodal,Plaza Metro,Central,2019-01-27T00:00:00,39,48,96
C3,Hub Este,Hub Oeste,Plaza Metro,Central,2019-01-27T00:00:00,39,48,96
D4,Terminal Norte,Terminal Sur,Plaza Metro,Central,2019-01-27T00:00:00,39,48,96
E5,Plaza Metro,Hub Este,Plaza Metro,Central,2019-01-27T00:00:00,39,48,96
F6,Hub Oeste,Centro Intermodal,Plaza Metro,Central,2019-01-27T00:00:00,39,48,96
A1,Centro Intermodal,Terminal Norte,Terminal Norte,Norte,2019-01-29T00:00:00,43,54,98
B2,Terminal Sur,Centro Intermodal,Terminal Norte,Norte,2019-01-29T00:00:00,43,54,98
C3,Hub Este,Hub Oeste,Terminal Norte,Norte,2019-01-29T00:00:00,43,54,98
D4,Terminal Norte,Terminal Sur,Terminal Norte,Norte,2019-01-29T00:00:00,43,54,98
E5,Plaza Metro,Hub Este,Terminal Norte,Norte,2019-01-29T00:00:00,43,54,98
F6,Hub Oeste,Centro Intermodal,Terminal Norte,Norte,2019-01-29T00:00:00,43,54,98
A1,Centro Intermodal,Terminal Norte,Hub Este,Este,2019-01-31T00:00:00,27,40,30
B2,Terminal Sur,Centro Intermodal,Hub Este,Este,2019-01-31T00:00:00,27,40,30
C3,Hub Este,Hub Oeste,Hub Este,Este,2019-01-31T00:00:00,27,40,30
D4,Terminal Norte,Terminal Sur,Hub Este,Este,2019-01-31T00:00:00,27,40,30
E5,Plaza Metro,Hub Este,Hub Este,Este,2019-01-31T00:00:00,27,40,30
F6,Hub Oeste,Centro Intermodal,Hub Este,Este,2019-01-31T00:00:00,27,40,30
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-02-02T00:00:00,29,31,32
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-02-02T00:00:00,29,31,32
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-02-02T00:00:00,29,31,32
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-02-02T00:00:00,29,31,32
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-02-02T00:00:00,29,31,32
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-02-02T00:00:00,29,31,32
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-02-04T00:00:00,33,37,34
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-02-04T00:00:00,33,37,34
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-02-04T00:00:00,33,37,34
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-02-04T00:00:00,33,37,34
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-02-04T00:00:00,33,37,34
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-02-04T00:00:00,33,37,34
A1,Centro Intermodal,Terminal Norte,Terminal Sur,Sur,2019-02-06T00:00:00,37,43,36
B2,Terminal Sur,Centro Intermodal,Terminal Sur,Sur,2019-02-06T00:00:00,37,43,36
C3,Hub Este,Hub Oeste,Terminal Sur,Sur,2019-02-06T00:00:00,37,43,36
D4,Terminal Norte,Terminal Sur,Terminal Sur,Sur,2019-02-06T00:00:00,37,43,36
E5,Plaza Metro,Hub Este,Terminal Sur,Sur,2019-02-06T00:00:00,37,43,36
F6,Hub Oeste,Centro Intermodal,Terminal Sur,Sur,2019-02-06T00:00:00,37,43,36
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-02-08T00:00:00,41,49,38
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-02-08T00:00:00,41,49,38
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-02-08T00:00:00,41,49,38
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-02-08T00:00:00,41,49,38
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-02-08T00:00:00,41,49,38
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-02-08T00:00:00,41,49,38
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-02-10T00:00:00,25,35,40
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-02-10T00:00:00,25,35,40
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-02-10T00:00:00,25,35,40
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-02-10T00:00:00,25,35,40
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-02-10T00:00:00,25,35,40
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-02-10T00:00:00,25,35,40
A1,Centro Intermodal,Terminal Norte,Terminal Sur,Sur,2019-02-12T00:00:00,29,41,42
B2,Terminal Sur,Centro Intermodal,Terminal Sur,Sur,2019-02-12T00:00:00,29,41,42
C3,Hub Este,Hub Oeste,Terminal Sur,Sur,2019-02-12T00:00:00,29,41,42
D4,Terminal Norte,Terminal Sur,Terminal Sur,Sur,2019-02-12T00:00:00,29,41,42
E5,Plaza Metro,Hub Este,Terminal Sur,Sur,2019-02-12T00:00:00,29,41,42
F6,Hub Oeste,Centro Intermodal,Terminal Sur,Sur,2019-02-12T00:00:00,29,41,42
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-02-14T00:00:00,33,29,44
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-02-14T00:00:00,33,29,44
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-02-14T00:00:00,33,29,44
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-02-14T00:00:00,33,29,44
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-02-14T00:00:00,33,29,44
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-02-14T00:00:00,33,29,44
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-02-16T00:00:00,37,35,46
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-02-16T00:00:00,37,35,46
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-02-16T00:00:00,37,35,46
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-02-16T00:00:00,37,35,46
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-02-16T00:00:00,37,35,46
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-02-16T00:00:00,37,35,46
A1,Centro Intermodal,Terminal Norte,Terminal Sur,Sur,2019-02-18T00:00:00,41,41,48
B2,Terminal Sur,Centro Intermodal,Terminal Sur,Sur,2019-02-18T00:00:00,41,41,48
C3,Hub Este,Hub Oeste,Terminal Sur,Sur,2019-02-18T00:00:00,41,41,48
D4,Terminal Norte,Terminal Sur,Terminal Sur,Sur,2019-02-18T00:00:00,41,41,48
E5,Plaza Metro,Hub Este,Terminal Sur,Sur,2019-02-18T00:00:00,41,41,48
F6,Hub Oeste,Centro Intermodal,Terminal Sur,Sur,2019-02-18T00:00:00,41,41,48
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-02-20T00:00:00,25,27,50
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-02-20T00:00:00,25,27,50
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-02-20T00:00:00,25,27,50
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-02-20T00:00:00,25,27,50
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-02-20T00:00:00,25,27,50
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-02-20T00:00:00,25,27,50
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-02-22T00:00:00,29,33,52
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-02-22T00:00:00,29,33,52
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-02-22T00:00:00,29,33,52
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-02-22T00:00:00,29,33,52
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-02-22T00:00:00,29,33,52
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-02-22T00:00:00,29,33,52
A1,Centro Intermodal,Terminal Norte,Terminal Sur,Sur,2019-02-24T00:00:00,33,39,54
B2,Terminal Sur,Centro Intermodal,Terminal Sur,Sur,2019-02-24T00:00:00,33,39,54
C3,Hub Este,Hub Oeste,Terminal Sur,Sur,2019-02-24T00:00:00,33,39,54
D4,Terminal Norte,Terminal Sur,Terminal Sur,Sur,2019-02-24T00:00:00,33,39,54
E5,Plaza Metro,Hub Este,Terminal Sur,Sur,2019-02-24T00:00:00,33,39,54
F6,Hub Oeste,Centro Intermodal,Terminal Sur,Sur,2019-02-24T00:00:00,33,39,54
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-02-26T00:00:00,37,45,56
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-02-26T00:00:00,37,45,56
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-02-26T00:00:00,37,45,56
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-02-26T00:00:00,37,45,56
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-02-26T00:00:00,37,45,56
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-02-26T00:00:00,37,45,56
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-02-28T00:00:00,41,51,58
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-02-28T00:00:00,41,51,58
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-02-28T00:00:00,41,51,58
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-02-28T00:00:00,41,51,58
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-02-28T00:00:00,41,51,58
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-02-28T00:00:00,41,51,58
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-03-02T00:00:00,29,31,60
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-03-02T00:00:00,29,31,60
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-03-02T00:00:00,29,31,60
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-03-02T00:00:00,29,31,60
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-03-02T00:00:00,29,31,60
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-03-02T00:00:00,29,31,60
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-03-04T00:00:00,33,37,62
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-03-04T00:00:00,33,37,62
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-03-04T00:00:00,33,37,62
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-03-04T00:00:00,33,37,62
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-03-04T00:00:00,33,37,62
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-03-04T00:00:00,33,37,62
A1,Centro Intermodal,Terminal Norte,Terminal Sur,Sur,2019-03-06T00:00:00,37,43,64
B2,Terminal Sur,Centro Intermodal,Terminal Sur,Sur,2019-03-06T00:00:00,37,43,64
C3,Hub Este,Hub Oeste,Terminal Sur,Sur,2019-03-06T00:00:00,37,43,64
D4,Terminal Norte,Terminal Sur,Terminal Sur,Sur,2019-03-06T00:00:00,37,43,64
E5,Plaza Metro,Hub Este,Terminal Sur,Sur,2019-03-06T00:00:00,37,43,64
F6,Hub Oeste,Centro Intermodal,Terminal Sur,Sur,2019-03-06T00:00:00,37,43,64
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-03-08T00:00:00,41,49,66
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-03-08T00:00:00,41,49,66
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-03-08T00:00:00,41,49,66
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-03-08T00:00:00,41,49,66
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-03-08T00:00:00,41,49,66
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-03-08T00:00:00,41,49,66
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-03-10T00:00:00,25,35,68
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-03-10T00:00:00,25,35,68
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-03-10T00:00:00,25,35,68
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-03-10T00:00:00,25,35,68
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-03-10T00:00:00,25,35,68
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-03-10T00:00:00,25,35,68
A1,Centro Intermodal,Terminal Norte,Terminal Sur,Sur,2019-03-12T00:00:00,29,41,70
B2,Terminal Sur,Centro Intermodal,Terminal Sur,Sur,2019-03-12T00:00:00,29,41,70
C3,Hub Este,Hub Oeste,Terminal Sur,Sur,2019-03-12T00:00:00,29,41,70
D4,Terminal Norte,Terminal Sur,Terminal Sur,Sur,2019-03-12T00:00:00,29,41,70
E5,Plaza Metro,Hub Este,Terminal Sur,Sur,2019-03-12T00:00:00,29,41,70
F6,Hub Oeste,Centro Intermodal,Terminal Sur,Sur,2019-03-12T00:00:00,29,41,70
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-03-14T00:00:00,33,29,72
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-03-14T00:00:00,33,29,72
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-03-14T00:00:00,33,29,72
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-03-14T00:00:00,33,29,72
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-03-14T00:00:00,33,29,72
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-03-14T00:00:00,33,29,72
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-03-16T00:00:00,37,35,74
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-03-16T00:00:00,37,35,74
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-03-16T00:00:00,37,35,74
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-03-16T00:00:00,37,35,74
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-03-16T00:00:00,37,35,74
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-03-16T00:00:00,37,35,74
A1,Centro Intermodal,Terminal Norte,Terminal Sur,Sur,2019-03-18T00:00:00,41,41,76
B2,Terminal Sur,Centro Intermodal,Terminal Sur,Sur,2019-03-18T00:00:00,41,41,76
C3,Hub Este,Hub Oeste,Terminal Sur,Sur,2019-03-18T00:00:00,41,41,76
D4,Terminal Norte,Terminal Sur,Terminal Sur,Sur,2019-03-18T00:00:00,41,41,76
E5,Plaza Metro,Hub Este,Terminal Sur,Sur,2019-03-18T00:00:00,41,41,76
F6,Hub Oeste,Centro Intermodal,Terminal Sur,Sur,2019-03-18T00:00:00,41,41,76
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-03-20T00:00:00,25,27,78
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-03-20T00:00:00,25,27,78
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-03-20T00:00:00,25,27,78
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-03-20T00:00:00,25,27,78
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-03-20T00:00:00,25,27,78
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-03-20T00:00:00,25,27,78
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-03-22T00:00:00,29,33,80
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-03-22T00:00:00,29,33,80
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-03-22T00:00:00,29,33,80
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-03-22T00:00:00,29,33,80
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-03-22T00:00:00,29,33,80
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-03-22T00:00:00,29,33,80
A1,Centro Intermodal,Terminal Norte,Terminal Sur,Sur,2019-03-24T00:00:00,33,39,82
B2,Terminal Sur,Centro Intermodal,Terminal Sur,Sur,2019-03-24T00:00:00,33,39,82
C3,Hub Este,Hub Oeste,Terminal Sur,Sur,2019-03-24T00:00:00,33,39,82
D4,Terminal Norte,Terminal Sur,Terminal Sur,Sur,2019-03-24T00:00:00,33,39,82
E5,Plaza Metro,Hub Este,Terminal Sur,Sur,2019-03-24T00:00:00,33,39,82
F6,Hub Oeste,Centro Intermodal,Terminal Sur,Sur,2019-03-24T00:00:00,33,39,82
A1,Centro Intermodal,Terminal Norte,Hub Oeste,Oeste,2019-03-26T00:00:00,37,45,84
B2,Terminal Sur,Centro Intermodal,Hub Oeste,Oeste,2019-03-26T00:00:00,37,45,84
C3,Hub Este,Hub Oeste,Hub Oeste,Oeste,2019-03-26T00:00:00,37,45,84
D4,Terminal Norte,Terminal Sur,Hub Oeste,Oeste,2019-03-26T00:00:00,37,45,84
E5,Plaza Metro,Hub Este,Hub Oeste,Oeste,2019-03-26T00:00:00,37,45,84
F6,Hub Oeste,Centro Intermodal,Hub Oeste,Oeste,2019-03-26T00:00:00,37,45,84
A1,Centro Intermodal,Terminal Norte,Centro Intermodal,Central,2019-03-28T00:00:00,41,51,86
B2,Terminal Sur,Centro Intermodal,Centro Intermodal,Central,2019-03-28T00:00:00,41,51,86
C3,Hub Este,Hub Oeste,Centro Intermodal,Central,2019-03-28T00:00:00,41,51,86
D4,Terminal Norte,Terminal Sur,Centro Intermodal,Central,2019-03-28T00:00:00,41,51,86
E5,Plaza Metro,Hub Este,Centro Intermodal,Central,2019-03-28T00:00:00,41,51,86
F6,Hub Oeste,Centro Intermodal,Centro Intermodal,Central,2019-03-28T00:00:00,41,51,86
A1,Centro Intermodal,Terminal Norte,Terminal Sur,Sur,2019-03-30T00:00:00,25,37,88
B2,Terminal Sur,Centro Intermodal,Terminal Sur,Sur,2019-03-30T00:00:00,25,37,88
C3,Hub Este,Hub Oeste,Terminal Sur,Sur,2019-03-30T00:00:00,25,37,88
D4,Terminal Norte,Terminal Sur,Terminal Sur,Sur,2019-03-30T00:00:00,25,37,88
E5,Plaza Metro,Hub Este,Terminal Sur,Sur,2019-03-30T00:00:00,25,37,88
F6,Hub Oeste,Centro Intermodal,Terminal Sur,Sur,2019-03-30T00:00:00,25,37,88
A1,Centro Intermodal,Terminal Norte,Hub Este,Este,2019-04-01T00:00:00,27,28,90
B2,Terminal Sur,Centro Intermodal,Hub Este,Este,2019-04-01T00:00:00,27,28,90
C3,Hub Este,Hub Oeste,Hub Este,Este,2019-04-01T00:00:00,27,28,90
D4,Terminal Norte,Terminal Sur,Hub Este,Este,2019-04-01T00:00:00,27,28,90
E5,Plaza Metro,Hub Este,Hub Este,Este,2019-04-01T00:00:00,27,28,90
F6,Hub Oeste,Centro Intermodal,Hub Este,Este,2019-04-01T00:00:00,27,28,90
A1,Centro Intermodal,Terminal Norte,Plaza Metro,Central,2019-04-03T00:00:00,31,34,92
B2,Terminal Sur,Centro Intermodal,Plaza Metro,Central,2019-04-03T00:00:00,31,34,92
C3,Hub Este,Hub Oeste,Plaza Metro,Central,2019-04-03T00:00:00,31,34,92
D4,Terminal Norte,Terminal Sur,Plaza Metro,Central,2019-04-03T00:00:00,31,34,92
